pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0075003,0.0075048,LOSS,-0.06,2026-04-01 13:34:10,level_touch,63.1,NEUTRAL
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.95749,1.95711,WIN,0.01941,2026-04-01 13:35:00,level_touch,64.7,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34559,1.34595,LOSS,-0.02675,2026-04-01 13:35:50,level_touch,64.9,NEUTRAL
USD/JPY OTC,#USDJPY_otc,BUY,1m,162.503,162.528,WIN,0.01538,2026-04-01 13:36:40,level_touch,61.9,BULL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95863,0.95955,WIN,0.09597,2026-04-01 13:37:30,level_touch,64.7,BULL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.67535,0.67536,WIN,0.00148,2026-04-01 13:38:20,level_touch,61.1,BULL
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.13947,1.13948,LOSS,-0.00088,2026-04-01 13:39:10,level_touch,65.6,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34557,1.34514,WIN,0.03196,2026-04-01 13:39:10,level_touch,66.4,NEUTRAL
USD/JPY OTC,#USDJPY_otc,SELL,1m,162.529,162.494,WIN,0.02153,2026-04-01 13:40:00,level_touch,63.1,NEUTRAL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.96001,0.95949,LOSS,-0.05417,2026-04-01 13:40:50,level_touch,66.8,NEUTRAL
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.19615,1.19547,WIN,0.05685,2026-04-01 13:40:50,level_breakout,56.6,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30505,18.30611,WIN,0.00579,2026-04-01 13:41:40,level_touch,67.6,BULL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.13916,1.13868,LOSS,-0.04214,2026-04-01 13:42:30,level_touch,63.4,BULL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.34567,1.34591,WIN,0.01783,2026-04-01 13:42:30,level_touch,66.3,BULL
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.95438,1.95513,LOSS,-0.03838,2026-04-01 13:43:20,level_touch,66.8,NEUTRAL
USD/JPY OTC,#USDJPY_otc,BUY,1m,162.529,162.53,WIN,0.00062,2026-04-01 13:43:20,level_touch,58.4,NEUTRAL
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.56164,0.56163,LOSS,-0.00178,2026-04-01 13:43:20,level_breakout,57.1,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.6748,0.67494,WIN,0.02075,2026-04-01 13:44:10,level_touch,61.5,BULL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.831,109.826,LOSS,-0.00455,2026-04-01 13:44:10,ema_bounce,63.8,BULL
